z,goal of the work would be to try and mitigate or try and understand the epidemiologies that we can mitigate in resistance development.  
S2,Most of the work that I do is related to antimicrobial resistance because the public health agency of Canada.  
S3,"most of my research is related to AMR particularly from farm animals, so I do a lot of on farm sampling and things like that.  "
S4,"It can vary quite a lot. On a day to day basis I work with 4-5 different people in my organization,.  "
S5,It can vary quite a lot. when I'm working on these multi collaborative groups like I'm doing with Colorado State and Dr. Morley and Noelle and things like that boy it can be like 10 or 20 up to 20 people that are involved depending on the project. 
S6,"Often I am involved with… that's a tough one how to define a role… so quite often it's in the planning and development of the project. So that would be one aspect of it, so coming together and actually coming up with the idea and planning it, getting funding and then once you get the funding you can execute it.  "
S7,And then once the project’s in place and it's rolling then often then our next role comes in with the analyzing and summarizing the data so that it can be published.  
S8,Sometimes I am the PI where I am actually the one that is writing the grant and providing and doing all the main work and the funding and then I’m calling on other people to help fill in the gaps where my expertise isn't.  
S9,in other cases I am like a co-applicant or a supporting person and I am trying to help fill in some gaps where the PI might be lacking.  
S10,so maybe their specialty is more in survey design or something but they want to something in AMR and needs me for the AMR aspect of it.  
S11,"Quite often it's working with students and getting the students to do the analysis, and so there's helping and supporting them in developing their education and understanding of how to approach these types of data.  "
S12,there would probably be at least 20 (collaborators on my current research project.  
S13,I have two sort of roles in this project. Part of my role in that particular one is that they were looking they’re using a lot of isolettes or samples from a previous project that I was a PI on and their samples and isolettes from Canada so they were wanting to test those using their metagenomics techniques and so I'm incorporated into the project just from that aspect of it because they'll be utilizing some of the samples and isolettes that we have from the previous project.  
S14,my goal is there to sort of help facilitate the inclusion of those isolettes and then any sort of support that we can give to providing some sort of context those isolettes would also be of value.  
S15,They have an advisory group as well that sort of meets occasionally to discuss the fast forward working throughout and things along those lines and so I'm also part of that advisory group.  
S16,I would say almost 100% of my projects involve at least one collaborator from another institution.  
S17,Canada and the government they really try to encourage us as much as possible to work with researchers both within and outside of Canada internationally and develop those networks and connections because they feel that that's important to make the most of the resources that we have there's limited resources.  
S18,we're all sort of working towards the same end game often so if you can get together with likeminded people then you can have a much better benefit.  
S19,How do you choose the collaborators at the other institutions who you want to work with? Often it's through meeting them through other collaborators that I've already worked with and then I get introduced to them.  
S20,like Dr. Belk in your situation at Colorado state I didn't know Dr. Belk before but I knew Dr. Morley and Dr
S21,quite often it's from previous people working with these individuals in previous projects or that they know of them and so that's sort of how we end up getting new collaborators developed.  
S22,developed you kind of get a network that gets going and you meet people who are working in the same area as you through that network and provides opportunities for you to work with them.  
S24,I have some collaborations with some people out at the university of Calgary and at the vet college there and I'm one project with them and their role is relatively minor so they're more the supportive person providing some expertise they'd be giving some input on papers etc.  
S25,I'm with them on another project and they're the PI so it can really change dramatically from particular project to particular project.  
S26,"So in your first example you're relying on these researchers provide specific expertise that you can't get somewhere else?  Yes, that would be correct.  "
S27,I've been very very fortunate with the groups of people that I've managed to collaborate with for the most part I've always felt that it was a very inclusive sort of environment people were very aware of the sensitivity.  
S28,what can end up happening is that people have similar sorts of interests they may want to have a piece of that project as their own and somebody might also want a piece of that project for them to work on and things.  
